gene_symbol	gene_dpi	gene_pli	protein_class	diseaseid	disease_semantic_type	score	ei	el	year_initial	year_final
TDGF1	0.731	9.1591e-11	DTO_05007616	C3178807	Congenital Abnormality	0.3	1.0		2000	2000
LEFTY2	0.231	0.00029307	DTO_05007599	C3178807	Congenital Abnormality	0.3	1.0		1999	1999
ACVR2B	0.615	0.83412	DTO_03300101	C3178807	Congenital Abnormality	0.3	1.0		1999	1999
CFC1	0.577	0.10509	DTO_05007616	C3178807	Congenital Abnormality	0.1				
GATA4	0.846	0.49308		C0018818	Congenital Abnormality	0.5	0.95		2006	2018
NKX2-5	0.692	0.94531	DTO_05007542	C0018818	Congenital Abnormality	0.49	1.0		2005	2017
SALL4	0.769	0.99997	DTO_05007542	C0018818	Congenital Abnormality	0.41	1.0		2010	2018
CITED2	0.654	0.76271	DTO_05007542	C0018818	Congenital Abnormality	0.31	1.0		2013	2013
IRX4	0.154	0.011525	DTO_05007542	C0018818	Congenital Abnormality	0.31	1.0	limited	2011	2011
EPO	0.885	0.01125		C0018818	Congenital Abnormality	0.3	1.0		2009	2009
PCSK5	0.538	2.5352e-12	DTO_05007624	C0018818	Congenital Abnormality	0.3	1.0		2008	2008
YES1	0.577	4.0091e-05	DTO_03300101	C0018818	Congenital Abnormality	0.3	1.0		2014	2014
GATA6	0.808	0.99709		C0018818	Congenital Abnormality	0.14	1.0		2011	2014
TBX1	0.808	0.83661	DTO_05007542	C0018818	Congenital Abnormality	0.14	1.0		2012	2018
TBX5	0.769	0.99954	DTO_05007542	C0018818	Congenital Abnormality	0.14	0.8		2000	2018
GATA5	0.615	0.28478		C0018818	Congenital Abnormality	0.13	1.0		2011	2014
GJA1	0.885	0.15523	DTO_05007527	C0018818	Congenital Abnormality	0.12	1.0		2013	2018
TBX3	0.769	0.98907	DTO_05007542	C0018818	Congenital Abnormality	0.12	1.0		2008	2013
DVL3	0.731	0.38544	DTO_05007599	C0018818	Congenital Abnormality	0.11	1.0		2012	2012
EP300	0.846	1.0		C0018818	Congenital Abnormality	0.11	1.0		2013	2013
EVC	0.577	3.462e-25		C0018818	Congenital Abnormality	0.11	1.0		2018	2018
FGFR2	0.808	0.99731	DTO_03300101	C0018818	Congenital Abnormality	0.11	1.0		2006	2006
GPC3	0.808	0.9982		C0018818	Congenital Abnormality	0.11	1.0		2009	2009
GLI1	0.846	7.6639e-14		C0018818	Congenital Abnormality	0.11	1.0		2006	2006
IGF1R	0.885	0.96799	DTO_03300101	C0018818	Congenital Abnormality	0.11	1.0		2007	2007
MEIS2	0.808	0.99938	DTO_05007624	C0018818	Congenital Abnormality	0.11	1.0		2018	2018
ROR2	0.731	0.00012401	DTO_03300101	C0018818	Congenital Abnormality	0.11	1.0		2000	2000
PLAGL1	0.769	0.9764		C0018818	Congenital Abnormality	0.11	1.0		2012	2012
DGCR8	0.731	0.99973		C0018818	Congenital Abnormality	0.11	0.0		2019	2019
PTPN11	0.923	0.99998		C0018818	Congenital Abnormality	0.11	1.0		2007	2007
NR2F2	0.692	0.98972	DTO_00102000	C0018818	Congenital Abnormality	0.11	1.0		2018	2018
AKT3	0.808	0.99958	DTO_03300101	C0018818	Congenital Abnormality	0.1				
PET100	0.577	0.00035883		C0018818	Congenital Abnormality	0.1				
GPC6	0.654	0.14181		C0018818	Congenital Abnormality	0.1				
PQBP1	0.654	0.78935	DTO_05007542	C0018818	Congenital Abnormality	0.1				
CD96	0.692	1.392e-11		C0018818	Congenital Abnormality	0.1				
TRAIP	0.654	1.5879e-05		C0018818	Congenital Abnormality	0.1				
SLC19A2	0.692	0.00043398	DTO_05007405	C0018818	Congenital Abnormality	0.1				
STAMBP	0.423	5.4496e-05	DTO_05007624	C0018818	Congenital Abnormality	0.1				
CPLX1	0.654	0.82499		C0018818	Congenital Abnormality	0.1				
TXNL4A	0.385	7.2309e-05		C0018818	Congenital Abnormality	0.1				
PNKP	0.692	3.662e-14		C0018818	Congenital Abnormality	0.1				
CHRM3	0.885	0.99253	DTO_02300001	C0018818	Congenital Abnormality	0.1				
FOXP4	0.346	0.98242		C0018818	Congenital Abnormality	0.1				
MTFMT	0.808	1.4994e-07	DTO_05007624	C0018818	Congenital Abnormality	0.1				
CANT1	0.731	2.5437e-06		C0018818	Congenital Abnormality	0.1				
B3GALT6	0.615	0.022667		C0018818	Congenital Abnormality	0.1				
COL11A2	0.846	0.70197		C0018818	Congenital Abnormality	0.1				
COMT	0.923	1.1377e-06	DTO_05007624	C0018818	Congenital Abnormality	0.1				
EVC2	0.692	1.0207e-34		C0018818	Congenital Abnormality	0.1				
COX7B	0.654	0.67459		C0018818	Congenital Abnormality	0.1				
COX15	0.538	1.1031e-13		C0018818	Congenital Abnormality	0.1				
MPLKIP	0.654	0.00016384		C0018818	Congenital Abnormality	0.1				
NDUFAF6	0.615	9.0736e-08		C0018818	Congenital Abnormality	0.1				
CREBBP	0.808	1.0		C0018818	Congenital Abnormality	0.1				
AMER1	0.654	0.8538		C0018818	Congenital Abnormality	0.1				
CRKL	0.769	0.44604		C0018818	Congenital Abnormality	0.1				
B3GLCT	0.731	7.1449e-17	DTO_05007624	C0018818	Congenital Abnormality	0.1				
CCBE1	0.769	1.5315e-07	DTO_05007616	C0018818	Congenital Abnormality	0.1				
CTBP1	0.692	0.98442	DTO_05007542	C0018818	Congenital Abnormality	0.1				
SIK1	0.731	0.93716	DTO_03300101	C0018818	Congenital Abnormality	0.1				
CKAP2L	0.577	0.00015885		C0018818	Congenital Abnormality	0.1				
CEP120	0.731	4.0887e-15		C0018818	Congenital Abnormality	0.1				
ESCO2	0.615	3.1642e-07		C0018818	Congenital Abnormality	0.1				
VPS13B	0.769	2.5029e-45		C0018818	Congenital Abnormality	0.1				
DDX11	0.577	2.3461e-21	DTO_05007624	C0018818	Congenital Abnormality	0.1				
PKD1L1	0.231	1.0852e-40	DTO_01300327	C0018818	Congenital Abnormality	0.1				
ARX	0.654	0.90814		C0018818	Congenital Abnormality	0.1				
ASXL1	0.808	1.2511e-14		C0018818	Congenital Abnormality	0.1				
DHCR7	0.846	3.949e-13	DTO_05007624	C0018818	Congenital Abnormality	0.1				
DPH1	0.538	8.0168e-17		C0018818	Congenital Abnormality	0.1				
JAG1	0.808	1.0		C0018818	Congenital Abnormality	0.1				
ATN1	0.885	0.99992		C0018818	Congenital Abnormality	0.1				
DTNA	0.385	0.63459		C0018818	Congenital Abnormality	0.1				
ECE1	0.769	0.95987	DTO_05007624	C0018818	Congenital Abnormality	0.1				
ECHS1	0.654	0.00087731	DTO_05007624	C0018818	Congenital Abnormality	0.1				
UBR1	0.731	0.0054862		C0018818	Congenital Abnormality	0.1				
ELN	0.885	2.1429e-14		C0018818	Congenital Abnormality	0.1				
TAPT1	0.538	0.032078		C0018818	Congenital Abnormality	0.1				
ERCC2	0.846	7.0654e-20	DTO_05007624	C0018818	Congenital Abnormality	0.1				
ERCC3	0.846	3.4312e-11	DTO_05007624	C0018818	Congenital Abnormality	0.1				
EXT2	0.654	1.3179e-09	DTO_05007624	C0018818	Congenital Abnormality	0.1				
HYLS1	0.692	2.3152e-09		C0018818	Congenital Abnormality	0.1				
FBN1	0.846	1.0	DTO_05007616	C0018818	Congenital Abnormality	0.1				
FBN2	0.808	1.0	DTO_05007616	C0018818	Congenital Abnormality	0.1				
JMJD1C	0.769	1.0		C0018818	Congenital Abnormality	0.1				
GPC4	0.769	0.92613		C0018818	Congenital Abnormality	0.1				
FGFR1	0.885	0.99984	DTO_03300101	C0018818	Congenital Abnormality	0.1				
PUF60	0.769	0.99677		C0018818	Congenital Abnormality	0.1				
FOXF1	0.692	0.95792		C0018818	Congenital Abnormality	0.1				
FOXC2	0.731	0.13356	DTO_05007542	C0018818	Congenital Abnormality	0.1				
TAB2	0.654	0.99998		C0018818	Congenital Abnormality	0.1				
FLI1	0.692	0.9894	DTO_05007542	C0018818	Congenital Abnormality	0.1				
FLNB	0.923	6.0505e-10		C0018818	Congenital Abnormality	0.1				
SPECC1L	0.654	0.85887		C0018818	Congenital Abnormality	0.1				
LARS2	0.654	8.9333e-17	DTO_05007624	C0018818	Congenital Abnormality	0.1				
TGDS	0.538	2.4826e-09		C0018818	Congenital Abnormality	0.1				
KAT6B	0.731	1.0	DTO_05007624	C0018818	Congenital Abnormality	0.1				
ABL1	0.923	0.99998	DTO_03300101	C0018818	Congenital Abnormality	0.1				
NIPBL	0.808	1.0	DTO_05007557	C0018818	Congenital Abnormality	0.1				
AAR2	0.192	8.3057e-06		C0018818	Congenital Abnormality	0.1				
C2CD3	0.538	4.4437e-19		C0018818	Congenital Abnormality	0.1				
CNTNAP2	0.846	2.8673e-09		C0018818	Congenital Abnormality	0.1				
TCTN3	0.615	4.1528e-12		C0018818	Congenital Abnormality	0.1				
PHGDH	0.885	0.00013308	DTO_05007624	C0018818	Congenital Abnormality	0.1				
VPS33B	0.654	2.4065e-16	DTO_05007405	C0018818	Congenital Abnormality	0.1				
GDF1	0.692	0.41237	DTO_05007599	C0018818	Congenital Abnormality	0.1				
TBL2	0.731	0.00018452		C0018818	Congenital Abnormality	0.1				
GLI3	0.846	0.99999		C0018818	Congenital Abnormality	0.1				
GNAO1	0.808	0.98963	DTO_05007584	C0018818	Congenital Abnormality	0.1				
GP1BB	0.769	0.51249		C0018818	Congenital Abnormality	0.1				
KANSL1	0.731	0.99972		C0018818	Congenital Abnormality	0.1				
STPG4	0.577	9.5142e-05		C0018818	Congenital Abnormality	0.1	1.0		2016	2016
CCDC22	0.692	0.99979		C0018818	Congenital Abnormality	0.1				
IFT81	0.385	9.0878e-12		C0018818	Congenital Abnormality	0.1				
ANKRD11	0.808	1.0		C0018818	Congenital Abnormality	0.1				
GTF2E2	0.692	0.039299	DTO_05007542	C0018818	Congenital Abnormality	0.1				
GTF2I	0.808	0.99592		C0018818	Congenital Abnormality	0.1				
HCCS	0.731	0.88624	DTO_05007624	C0018818	Congenital Abnormality	0.1				
HNRNPK	0.846	0.99998	DTO_05007624	C0018818	Congenital Abnormality	0.1				
HOXA13	0.654	0.9551		C0018818	Congenital Abnormality	0.1				
HRAS	0.885	0.079774	DTO_05007584	C0018818	Congenital Abnormality	0.1				
RSPO2	0.577	0.024608		C0018818	Congenital Abnormality	0.1				
FREM2	0.577	3.5958e-11		C0018818	Congenital Abnormality	0.1				
IGBP1	0.692	0.98274	DTO_05007608	C0018818	Congenital Abnormality	0.1				
CTU2	0.423	3.9682e-22		C0018818	Congenital Abnormality	0.1				
ACADVL	0.654	4.2385e-15	DTO_05007624	C0018818	Congenital Abnormality	0.1				
ARCN1	0.462	0.99997	DTO_05007405	C0018818	Congenital Abnormality	0.1				
KCNA1	0.577	0.076028	DTO_01300327	C0018818	Congenital Abnormality	0.1				
NDUFS7	0.769	0.9142		C0018818	Congenital Abnormality	0.1				
KRAS	0.923	0.00078803	DTO_05007584	C0018818	Congenital Abnormality	0.1				
GDF6	0.5	0.98833		C0018818	Congenital Abnormality	0.1				
LETM1	0.692	1.2141e-06	DTO_05007405	C0018818	Congenital Abnormality	0.1				
LIMK1	0.731	0.99937	DTO_03300101	C0018818	Congenital Abnormality	0.1				
LRP2	0.846	0.99999		C0018818	Congenital Abnormality	0.1				
LRP5	0.846	0.50992		C0018818	Congenital Abnormality	0.1				
GTF2H5	0.769	0.045238		C0018818	Congenital Abnormality	0.1				
LTBP2	0.692	0.00074122	DTO_05007616	C0018818	Congenital Abnormality	0.1				
ARVCF	0.769	5.0422e-11	DTO_05007530	C0018818	Congenital Abnormality	0.1				
MEOX1	0.615	0.00019076	DTO_05007542	C0018818	Congenital Abnormality	0.1				
MGAT2	0.577	0.034151	DTO_05007624	C0018818	Congenital Abnormality	0.1				
MGP	0.846	3.6072e-05		C0018818	Congenital Abnormality	0.1				
KMT2A	0.885	1.0		C0018818	Congenital Abnormality	0.1				
MMP2	0.923	0.83878	DTO_05007624	C0018818	Congenital Abnormality	0.1				
MMP14	0.769	0.99522	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFA2	0.577	0.77351	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFA4	0.462	0.023901	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFA9	0.385	0.0047988	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFA10	0.385	6.2418e-08	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFS1	0.692	6.626e-11	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFS2	0.654	0.0014212	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFS3	0.769	0.00058312		C0018818	Congenital Abnormality	0.1				
NDUFV1	0.538	6.3562e-11		C0018818	Congenital Abnormality	0.1				
NDUFS4	0.808	0.00031196		C0018818	Congenital Abnormality	0.1				
NDUFS8	0.538	0.16592	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NDUFV2	0.5	0.005576		C0018818	Congenital Abnormality	0.1				
NEUROD2	0.538	0.94202	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NODAL	0.731	0.97028	DTO_05007599	C0018818	Congenital Abnormality	0.1				
NONO	0.731	0.9935	DTO_05007557	C0018818	Congenital Abnormality	0.1				
NOTCH2	0.808	1.0		C0018818	Congenital Abnormality	0.1				
NOTCH3	0.808	0.40757		C0018818	Congenital Abnormality	0.1				
SIX6	0.654	0.51776	DTO_05007542	C0018818	Congenital Abnormality	0.1				
PAH	0.769	6.4046e-23		C0018818	Congenital Abnormality	0.1				
NDUFA13	0.692	3.8049e-06	DTO_05007624	C0018818	Congenital Abnormality	0.1				
TACO1	0.577	0.0014606		C0018818	Congenital Abnormality	0.1				
PIGP	0.462	0.0018935		C0018818	Congenital Abnormality	0.1				
CCDC174	0.269	7.142e-08		C0018818	Congenital Abnormality	0.1				
PDHA1	0.538	0.98842		C0018818	Congenital Abnormality	0.1				
LIPT1	0.462	3.8254e-08	DTO_05007624	C0018818	Congenital Abnormality	0.1				
DYNC2LI1	0.5	3.154e-09	DTO_05007530	C0018818	Congenital Abnormality	0.1				
OTUD6B	0.538	1.2841e-07	DTO_05007624	C0018818	Congenital Abnormality	0.1				
RAB23	0.654	0.0056143		C0018818	Congenital Abnormality	0.1				
PEX1	0.769	1.0572e-14		C0018818	Congenital Abnormality	0.1				
PEX6	0.731	6.253e-06		C0018818	Congenital Abnormality	0.1				
PEX10	0.654	0.00054204		C0018818	Congenital Abnormality	0.1				
PEX12	0.615	9.4838e-16	DTO_05007405	C0018818	Congenital Abnormality	0.1				
PEX13	0.654	5.8959e-05		C0018818	Congenital Abnormality	0.1				
PEX14	0.692	0.22566	DTO_05007575	C0018818	Congenital Abnormality	0.1				
PIK3CA	0.923	1.0	DTO_03300101	C0018818	Congenital Abnormality	0.1				
PIK3R2	0.808	0.016273	DTO_05007584	C0018818	Congenital Abnormality	0.1				
FGFRL1	0.615	0.011908	DTO_05007624	C0018818	Congenital Abnormality	0.1				
POLA1	0.731	1.0		C0018818	Congenital Abnormality	0.1				
WNT4	0.731	0.12766	DTO_05007599	C0018818	Congenital Abnormality	0.1				
NDUFB11	0.692	0.80382	DTO_05007624	C0018818	Congenital Abnormality	0.1				
DLL4	0.769	0.99982		C0018818	Congenital Abnormality	0.1				
ATRX	0.808	1.0		C0018818	Congenital Abnormality	0.1				
AHI1	0.846	1.0773e-25		C0018818	Congenital Abnormality	0.1				
BCOR	0.808	1.0		C0018818	Congenital Abnormality	0.1				
TMEM260	0.423	4.7299e-19		C0018818	Congenital Abnormality	0.1				
PPP1CB	0.577	0.99912	DTO_05007624	C0018818	Congenital Abnormality	0.1				
WDR60	0.654	4.3207e-12	DTO_05007530	C0018818	Congenital Abnormality	0.1				
SETD5	0.731	0.99997		C0018818	Congenital Abnormality	0.1				
FANCI	0.731	8.9116e-37		C0018818	Congenital Abnormality	0.1				
YY1AP1	0.462	1.9461e-18	DTO_05007542	C0018818	Congenital Abnormality	0.1				
SLC29A3	0.769	1.2925e-07	DTO_05007405	C0018818	Congenital Abnormality	0.1				
FOXRED1	0.462	1.9872e-16	DTO_05007624	C0018818	Congenital Abnormality	0.1				
CHD7	0.846	1.0		C0018818	Congenital Abnormality	0.1				
PEX26	0.615	0.93189		C0018818	Congenital Abnormality	0.1				
PACS1	0.615	0.99999		C0018818	Congenital Abnormality	0.1				
VAC14	0.731	0.18554	DTO_05007575	C0018818	Congenital Abnormality	0.1				
HDAC8	0.885	0.97707	DTO_05007378	C0018818	Congenital Abnormality	0.1				
MAPK1	0.923	0.99698	DTO_03300101	C0018818	Congenital Abnormality	0.1				
NDUFA12	0.462	7.427e-05		C0018818	Congenital Abnormality	0.1				
SMG9	0.346	3.4628e-13		C0018818	Congenital Abnormality	0.1				
MAP2K1	0.846	0.89669	DTO_03300101	C0018818	Congenital Abnormality	0.1				
MASP1	0.885	1.2276e-11	DTO_05007624	C0018818	Congenital Abnormality	0.1				
HYMAI	0.538			C0018818	Congenital Abnormality	0.1				
TTC7A	0.577	1.5359e-31		C0018818	Congenital Abnormality	0.1	1.0		2016	2016
ARID1B	0.846	1.0		C0018818	Congenital Abnormality	0.1				
ARHGAP31	0.615	0.99999		C0018818	Congenital Abnormality	0.1				
PEX19	0.731	0.0003188	DTO_05007612	C0018818	Congenital Abnormality	0.1				
PEX2	0.654	0.00025931		C0018818	Congenital Abnormality	0.1				
PEX5	0.731	5.5557e-05	DTO_05007405	C0018818	Congenital Abnormality	0.1				
RAC1	0.962	0.76228	DTO_05007584	C0018818	Congenital Abnormality	0.1				
RAD21	0.846	0.99701		C0018818	Congenital Abnormality	0.1				
RAF1	0.885	0.85295	DTO_03300101	C0018818	Congenital Abnormality	0.1	1.0		2007	2007
RFC2	0.769	2.2054e-06	DTO_05007624	C0018818	Congenital Abnormality	0.1				
RIT1	0.808	0.13281	DTO_05007584	C0018818	Congenital Abnormality	0.1				
RPL5	0.615	0.99776	DTO_05007557	C0018818	Congenital Abnormality	0.1				
BCR	0.885	0.98761	DTO_05007584	C0018818	Congenital Abnormality	0.1				
RPL11	0.577	0.96088	DTO_05007557	C0018818	Congenital Abnormality	0.1				
RPL15	0.615	0.97146	DTO_05007557	C0018818	Congenital Abnormality	0.1				
RPL35A	0.385	0.89535	DTO_05007557	C0018818	Congenital Abnormality	0.1				
RPS6KA3	0.846	0.99999	DTO_03300101	C0018818	Congenital Abnormality	0.1				
RREB1	0.808	1.0		C0018818	Congenital Abnormality	0.1				
SCN2A	0.731	1.0	DTO_01300327	C0018818	Congenital Abnormality	0.1				
SCN4A	0.731	0.01294	DTO_01300327	C0018818	Congenital Abnormality	0.1	1.0		2004	2008
SDHA	0.731	2.6088e-10	DTO_05007624	C0018818	Congenital Abnormality	0.1				
VIPAS39	0.5	7.2613e-10		C0018818	Congenital Abnormality	0.1				
PIEZO2	0.769	8.0992e-07	DTO_01300327	C0018818	Congenital Abnormality	0.1				
XYLT1	0.731	0.92418		C0018818	Congenital Abnormality	0.1				
XYLT2	0.808	0.92576		C0018818	Congenital Abnormality	0.1				
STRA6	0.731	1.5068e-10		C0018818	Congenital Abnormality	0.1				
NSD1	0.769	1.0	DTO_05007378	C0018818	Congenital Abnormality	0.1				
NXN	0.577	0.99725		C0018818	Congenital Abnormality	0.1				
PORCN	0.692	0.99953	DTO_05007624	C0018818	Congenital Abnormality	0.1				
SKIV2L	0.654	1.2931e-22		C0018818	Congenital Abnormality	0.1				
SLC25A1	0.731	0.058829	DTO_05007405	C0018818	Congenital Abnormality	0.1				
SMN1	0.769	0.015829	DTO_05007378	C0018818	Congenital Abnormality	0.1				
SNRPB	0.731	0.70858	DTO_05007557	C0018818	Congenital Abnormality	0.1				
SOS1	0.808	1.0	DTO_05007584	C0018818	Congenital Abnormality	0.1	1.0		2007	2011
SOX2	0.808	0.70662	DTO_05007542	C0018818	Congenital Abnormality	0.1				
SOX4	0.808	0.92656	DTO_05007542	C0018818	Congenital Abnormality	0.1	1.0		2019	2019
BRAF	0.846	0.99995	DTO_03300101	C0018818	Congenital Abnormality	0.1				
STIM1	0.808	0.77534		C0018818	Congenital Abnormality	0.1				
CDKL5	0.692	0.99932	DTO_03300101	C0018818	Congenital Abnormality	0.1				
STXBP1	0.692	1.0	DTO_05007405	C0018818	Congenital Abnormality	0.1				
SURF1	0.654	1.5883e-13	DTO_05007624	C0018818	Congenital Abnormality	0.1				
TALDO1	0.654	2.5234e-06		C0018818	Congenital Abnormality	0.1				
TFAP2B	0.769	0.99023	DTO_05007542	C0018818	Congenital Abnormality	0.1				
NKX2-1	0.808	0.35874	DTO_05007542	C0018818	Congenital Abnormality	0.1				
TKT	0.769	0.006748	DTO_05007624	C0018818	Congenital Abnormality	0.1				
HIRA	0.808	1.0	DTO_05007557	C0018818	Congenital Abnormality	0.1				
UBE2A	0.692	0.815		C0018818	Congenital Abnormality	0.1				
UFD1	0.769	0.99638		C0018818	Congenital Abnormality	0.1				
KDM6A	0.769	1.0	DTO_05007378	C0018818	Congenital Abnormality	0.1				
MYRF	0.731	1.0		C0018818	Congenital Abnormality	0.1				
CLIP2	0.808	0.99997	DTO_05007530	C0018818	Congenital Abnormality	0.1				
WHCR	0.577			C0018818	Congenital Abnormality	0.1				
NSD2	0.769	1.0	DTO_05007378	C0018818	Congenital Abnormality	0.1				
WT1	0.808	0.99648	DTO_05007557	C0018818	Congenital Abnormality	0.1				
ZIC3	0.423	0.92495	DTO_05007542	C0018818	Congenital Abnormality	0.1				
RNF113A	0.769	0.88873	DTO_05007624	C0018818	Congenital Abnormality	0.1				
CACNA1D	0.577	1.0	DTO_01300327	C0018818	Congenital Abnormality	0.1				
FTO	0.885	8.364e-08		C0018818	Congenital Abnormality	0.1				
NDUFAF5	0.462	3.1138e-10		C0018818	Congenital Abnormality	0.1				
THOC6	0.577	0.00047835		C0018818	Congenital Abnormality	0.1				
PALB2	0.769	3.0379e-19		C0018818	Congenital Abnormality	0.1				
SLC25A22	0.577	0.0066081	DTO_05007405	C0018818	Congenital Abnormality	0.1				
KAT6A	0.769	1.0	DTO_05007624	C0018818	Congenital Abnormality	0.1				
FRAS1	0.577	3.0802e-45		C0018818	Congenital Abnormality	0.1				
CEP290	0.769	1.0549e-60		C0018818	Congenital Abnormality	0.1				
SHOC2	0.769	0.99946		C0018818	Congenital Abnormality	0.1				
SLC19A3	0.692	0.1039	DTO_05007405	C0018818	Congenital Abnormality	0.1				
KMT2D	0.808	1.0		C0018818	Congenital Abnormality	0.1	1.0		2016	2016
CAMK2A	0.538	0.99845	DTO_03300101	C0018818	Congenital Abnormality	0.1	1.0		2017	2017
TRIM8	0.731	0.99438		C0018818	Congenital Abnormality	0.1				
ADAMTS10	0.5	0.84288	DTO_05007624	C0018818	Congenital Abnormality	0.1				
MKKS	0.692	2.1265e-09		C0018818	Congenital Abnormality	0.1				
DGCR6	0.5	9.8176e-12		C0018818	Congenital Abnormality	0.1				
ESS2	0.615	2.4382e-07		C0018818	Congenital Abnormality	0.1				
SMC1A	0.808	1.0		C0018818	Congenital Abnormality	0.1				
NAA10	0.692	0.76179	DTO_05007624	C0018818	Congenital Abnormality	0.1				
ARID1A	0.846	1.0		C0018818	Congenital Abnormality	0.1				
CDC45	0.692	4.6237e-05	DTO_05007557	C0018818	Congenital Abnormality	0.1				
PEX3	0.731	0.016335		C0018818	Congenital Abnormality	0.1				
CASK	0.808	1.0	DTO_03300101	C0018818	Congenital Abnormality	0.1				
CDK13	0.692	0.90753	DTO_03300101	C0018818	Congenital Abnormality	0.1				
TP63	0.769	0.99728	DTO_05007542	C0018818	Congenital Abnormality	0.1				
FADD	0.846	0.52595		C0018818	Congenital Abnormality	0.1				
PEX11B	0.654	0.00013346		C0018818	Congenital Abnormality	0.1				
CCND2	0.808	0.98658	DTO_05007584	C0018818	Congenital Abnormality	0.1				
UBE3B	0.692	4.1871e-08		C0018818	Congenital Abnormality	0.1				
BAZ1B	0.731	1.0		C0018818	Congenital Abnormality	0.1				
PIGQ	0.577	1.3575e-06	DTO_05007624	C0018818	Congenital Abnormality	0.1				
SMC3	0.846	1.0		C0018818	Congenital Abnormality	0.1				
NEK9	0.5	8.2095e-18	DTO_03300101	C0018818	Congenital Abnormality	0.1				
NDUFAF2	0.577	2.078e-06		C0018818	Congenital Abnormality	0.1				
ACVR2B	0.615	0.83412	DTO_03300101	C0018818	Congenital Abnormality	0.1				
EFTUD2	0.462	1.0	DTO_05007624	C0018818	Congenital Abnormality	0.1				
LONP1	0.808	0.9993	DTO_05007624	C0018818	Congenital Abnormality	0.1				
NRXN1	0.692	0.99964		C0018818	Congenital Abnormality	0.1				
PEX16	0.615	8.2934e-05		C0018818	Congenital Abnormality	0.1				
CHST3	0.846	0.0072431		C0018818	Congenital Abnormality	0.1				
PIGL	0.731	6.178e-09		C0018818	Congenital Abnormality	0.1				
GTF2IRD1	0.769	0.90039		C0018818	Congenital Abnormality	0.1				
GDF3	0.5	4.0734e-05	DTO_05007599	C0018818	Congenital Abnormality	0.1				
SEC24C	0.808	1.0	DTO_05007405	C0018818	Congenital Abnormality	0.1				
TTC37	0.654	1.725e-29		C0018818	Congenital Abnormality	0.1				
CEP57	0.615	0.072685		C0018818	Congenital Abnormality	0.1				
SEMA3E	0.769	8.7148e-09	DTO_05007599	C0018818	Congenital Abnormality	0.1				
TMEM94	0.654	2.7548e-14		C0018818	Congenital Abnormality	0.1				
ZEB2	0.808	1.0	DTO_05007542	C0018818	Congenital Abnormality	0.1				
FIG4	0.731	2.3423e-34		C0018818	Congenital Abnormality	0.1				
WASHC5	0.615	8.2703e-18	DTO_05007405	C0018818	Congenital Abnormality	0.1				
MED12	0.769	1.0	DTO_05007542	C0018818	Congenital Abnormality	0.1				
DGCR2	0.731	5.1573e-06		C0018818	Congenital Abnormality	0.1				
HEY2	0.731	0.89343	DTO_05007542	C0018818	Congenital Abnormality	0.04	1.0		2002	2019
NFATC1	0.731	0.15652	DTO_05007542	C0018818	Congenital Abnormality	0.04	0.75		2006	2013
ISL1	0.654	0.86857	DTO_05007542	C0018818	Congenital Abnormality	0.03	1.0		2013	2019
TBX20	0.346	0.97302	DTO_05007542	C0018818	Congenital Abnormality	0.03	1.0		2008	2015
ETS1	0.731	0.7816	DTO_05007542	C0018818	Congenital Abnormality	0.02	1.0		2010	2014
ARSD	0.808	0.0016285	DTO_05007624	C0018818	Congenital Abnormality	0.02	1.0		2017	2018
MTRR	0.808	2.1794e-14		C0018818	Congenital Abnormality	0.02	1.0		2017	2019
MYH7	0.692	4.2385e-16		C0018818	Congenital Abnormality	0.02	1.0		2012	2013
NTRK3	0.692	0.9983	DTO_03300101	C0018818	Congenital Abnormality	0.02	1.0		2009	2014
CASZ1	0.731	1.0	DTO_05007542	C0018818	Congenital Abnormality	0.02	1.0		2016	2019
CHDH	0.769	1.685e-06	DTO_05007624	C0018818	Congenital Abnormality	0.02	1.0		1990	2017
MESP1	0.192	8.6067e-05		C0018818	Congenital Abnormality	0.02	1.0		2016	2017
RYR2	0.615	0.99999	DTO_01300327	C0018818	Congenital Abnormality	0.02	0.5		2007	2018
TGFBR2	0.846	0.12535	DTO_03300101	C0018818	Congenital Abnormality	0.02	1.0		2010	2015
TWIST1	0.846	0.34491	DTO_05007542	C0018818	Congenital Abnormality	0.02	1.0		2015	2015
WNT5A	0.808	0.98732	DTO_05007599	C0018818	Congenital Abnormality	0.02	1.0		2012	2018
HAND1	0.308	0.10914		C0018818	Congenital Abnormality	0.02	1.0		2012	2017
CDH5	0.692	0.51314		C0018818	Congenital Abnormality	0.01	1.0		2017	2017
MIR1233-1	0.192			C0018818	Congenital Abnormality	0.01	0.0		2018	2018
MIR3691	0.077			C0018818	Congenital Abnormality	0.01	1.0		2019	2019
TSHZ1	0.731	0.9973	DTO_05007542	C0018818	Congenital Abnormality	0.01	1.0		2011	2011
